nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,16000,40000,2,2,3,295315035
2,124000,40000,2,2,3,185316259
2,2000,40000,2,2,3,497029460
2,16000,40000,2,2,3,314638739
2,124000,40000,2,2,3,198090565
2,2000,40000,2,2,3,567024053
2,16000,40000,2,2,3,316031438
2,124000,40000,2,2,3,201933910
2,2000,40000,2,2,3,492294362
2,16000,40000,2,2,3,344414004
2,124000,40000,2,2,3,183179839
2,2000,40000,2,2,3,467044975
2,16000,40000,2,2,3,309041098
2,124000,40000,2,2,3,209303611
2,2000,40000,2,2,3,467659609
2,16000,40000,2,2,3,318541297
2,124000,40000,2,2,3,186327624
2,2000,40000,2,2,3,448130633
2,16000,40000,2,2,3,307891174
2,124000,40000,2,2,3,195224636
2,2000,40000,2,2,3,500844383
2,16000,40000,2,2,3,318009561
2,124000,40000,2,2,3,186674219
2,2000,40000,2,2,3,564662621
2,16000,40000,2,2,3,320719561
2,124000,40000,2,2,3,175716186
2,2000,30000,2,2,3,381179610
2,16000,30000,2,2,3,112638905
2,124000,30000,2,2,3,202368537
2,2000,30000,2,2,3,360950336
2,16000,30000,2,2,3,120862069
2,124000,30000,2,2,3,173935836
2,2000,30000,2,2,3,368687160
2,16000,30000,2,2,3,127427652
2,124000,30000,2,2,3,151129595
2,2000,30000,2,2,3,360484129
2,16000,30000,2,2,3,114944280
2,124000,30000,2,2,3,174295853
2,2000,30000,2,2,3,367759878
2,16000,30000,2,2,3,116473170
2,124000,30000,2,2,3,202439987
2,2000,30000,2,2,3,416447511
2,16000,30000,2,2,3,115317720
2,124000,30000,2,2,3,175022994
2,2000,30000,2,2,3,457662412
2,16000,30000,2,2,3,114536497
2,124000,30000,2,2,3,200492261
2,2000,30000,2,2,3,383172733
2,16000,30000,2,2,3,125269125
2,124000,30000,2,2,3,173956759
2,2000,30000,2,2,3,359895153
2,16000,30000,2,2,3,118514059
2,124000,30000,2,2,3,149888086
2,2000,30000,2,2,3,370761208
2,16000,30000,2,2,3,115641025
2,124000,30000,2,2,3,171693227
2,2000,30000,2,2,3,360758484
2,16000,30000,2,2,3,116126969
2,124000,30000,2,2,3,185270467
2,2000,30000,2,2,3,360200299
2,16000,30000,2,2,3,111871894
2,124000,30000,2,2,3,189340797
2,2000,30000,2,2,3,374271379
2,16000,30000,2,2,3,115016125
2,124000,30000,2,2,3,171628487
2,2000,30000,2,2,3,450958665
2,16000,30000,2,2,3,122610838
2,124000,30000,2,2,3,173672928
2,2000,30000,2,2,3,407378780
2,16000,30000,2,2,3,117106754
2,124000,30000,2,2,3,192682801
2,2000,30000,2,2,3,357678598
2,16000,30000,2,2,3,110389190
2,124000,30000,2,2,3,171774547
2,2000,30000,2,2,3,362531728
2,16000,30000,2,2,3,116674891
2,124000,30000,2,2,3,161805772
2,2000,30000,2,2,3,375401566
2,16000,30000,2,2,3,112199541
2,124000,30000,2,2,3,173750302
2,2000,30000,2,2,3,390598885
2,16000,30000,2,2,3,115966304
2,124000,30000,2,2,3,159890021
2,2000,30000,2,2,3,358324418
2,16000,30000,2,2,3,139969446
2,124000,30000,2,2,3,162918195
2,2000,30000,2,2,3,365344365
